INVESTIGATION_ID,AddrLine,House,Street,Type,Direction
5420931,95 CLEARBROOKE CRCL,95,CLEARBROOKE,CRCL,
5411632,14 CROWLAND DR,14,CROWLAND,DR,
5409172,14 CROWLAND DR,14,CROWLAND,DR,
5483151,14 CROWLAND DR,14,CROWLAND,DR,
5474286,14 CROWLAND DR,14,CROWLAND,DR,
5478533,14 CROWLAND DR,14,CROWLAND,DR,
5636476,14 CROWLAND DR,14,CROWLAND,DR,
5541781,900 QUEENS PLATE DR,900,QUEENS PLATE,DR,
5493072,900 QUEENS PLATE DR,900,QUEENS PLATE,DR,
5466184,900 QUEENS PLATE DR,900,QUEENS PLATE,DR,
5654293,900 QUEENS PLATE DR,900,QUEENS PLATE,DR,
5654911,900 QUEENS PLATE DR,900,QUEENS PLATE,DR,
5465701,41 THOROUGHBRED CRES,41,THOROUGHBRED,CRES,
5652459,41 THOROUGHBRED CRES,41,THOROUGHBRED,CRES,
5660602,41 THOROUGHBRED CRES,41,THOROUGHBRED,CRES,
5440039,41 CINRICKBAR DR,41,CINRICKBAR,DR,
5444991,41 CINRICKBAR DR,41,CINRICKBAR,DR,
5513422,145 CINRICKBAR DR,145,CINRICKBAR,DR,
5716657,3 HEATHROW CRT,3,HEATHROW,CRT,
5607368,27 AMARON AVE,27,AMARON,AVE,
5612298,27 AMARON AVE,27,AMARON,AVE,
5669859,107 BERGAMOT AVE,107,BERGAMOT,AVE,
5669868,107 BERGAMOT AVE,107,BERGAMOT,AVE,
5495444,36 O'HARA AVE,36,O'HARA,AVE,
5495445,36 O'HARA AVE,36,O'HARA,AVE,
5482947,36 O'HARA AVE,36,O'HARA,AVE,
5482960,36 O'HARA AVE,36,O'HARA,AVE,
5436123,18 O'HARA AVE,18,O'HARA,AVE,
5428441,18 O'HARA AVE,18,O'HARA,AVE,
5700206,1406 QUEEN ST W,1406,QUEEN,ST,W
5719826,1406 QUEEN ST W,1406,QUEEN,ST,W
5480292,185 AVENUE RD,185,AVENUE,RD,
5461800,185 AVENUE RD,185,AVENUE,RD,
5396478,250 DAVENPORT RD,250,DAVENPORT,RD,
5437985,250 DAVENPORT RD,250,DAVENPORT,RD,
5400964,250 DAVENPORT RD,250,DAVENPORT,RD,
5428838,250 DAVENPORT RD,250,DAVENPORT,RD,
5404550,250 DAVENPORT RD,250,DAVENPORT,RD,
5530397,250 DAVENPORT RD,250,DAVENPORT,RD,
5545069,250 DAVENPORT RD,250,DAVENPORT,RD,
5474473,250 DAVENPORT RD,250,DAVENPORT,RD,
5483506,250 DAVENPORT RD,250,DAVENPORT,RD,
5547772,250 DAVENPORT RD,250,DAVENPORT,RD,
5536253,250 DAVENPORT RD,250,DAVENPORT,RD,
5588432,250 DAVENPORT RD,250,DAVENPORT,RD,
5596997,250 DAVENPORT RD,250,DAVENPORT,RD,
5563637,250 DAVENPORT RD,250,DAVENPORT,RD,
5567114,250 DAVENPORT RD,250,DAVENPORT,RD,
5599304,250 DAVENPORT RD,250,DAVENPORT,RD,
5566596,250 DAVENPORT RD,250,DAVENPORT,RD,
5605437,250 DAVENPORT RD,250,DAVENPORT,RD,
5720433,250 DAVENPORT RD,250,DAVENPORT,RD,
5720037,250 DAVENPORT RD,250,DAVENPORT,RD,
5681635,250 DAVENPORT RD,250,DAVENPORT,RD,
5675073,250 DAVENPORT RD,250,DAVENPORT,RD,
5660287,250 DAVENPORT RD,250,DAVENPORT,RD,
5732569,250 DAVENPORT RD,250,DAVENPORT,RD,
5710035,250 DAVENPORT RD,250,DAVENPORT,RD,
5712234,250 DAVENPORT RD,250,DAVENPORT,RD,
5507613,11 WALES AVE,11,WALES,AVE,
5502359,11 WALES AVE,11,WALES,AVE,
5358304,54 KENSINGTON AVE,54,KENSINGTON,AVE,
5523139,54 KENSINGTON AVE,54,KENSINGTON,AVE,
5682529,136 BEVERLEY ST,136,BEVERLEY,ST,
5367944,104 SEATON ST,104,SEATON,ST,
5634216,104 SEATON ST,104,SEATON,ST,
5648154,258 PARLIAMENT ST,258,PARLIAMENT,ST,
5671897,258 PARLIAMENT ST,258,PARLIAMENT,ST,
5504114,349 ONTARIO ST,349,ONTARIO,ST,
5438994,364 DUNDAS ST E,364,DUNDAS,ST,E
5430728,364 DUNDAS ST E,364,DUNDAS,ST,E
5436024,364 DUNDAS ST E,364,DUNDAS,ST,E
5439676,364 DUNDAS ST E,364,DUNDAS,ST,E
5608861,982 LOGAN AVE,982,LOGAN,AVE,
5674459,982 LOGAN AVE,982,LOGAN,AVE,
5443999,960 LOGAN AVE,960,LOGAN,AVE,
5518356,960 LOGAN AVE,960,LOGAN,AVE,
5644179,84 ARUNDEL AVE,84,ARUNDEL,AVE,
5498692,83 BOULTBEE AVE,83,BOULTBEE,AVE,
5498695,83 BOULTBEE AVE,83,BOULTBEE,AVE,
5498697,83 BOULTBEE AVE,83,BOULTBEE,AVE,
